num_keys,bucket_size,leaf_size,total_bits,build_time,hashing_time,bijection_time,splitting_time,splitting_tree,unary,fixed,bucket_prefixes,burr
1e+06,100,28,1681205,19095647539,1060906910,1501545468,16921270106,575741,134192,441549,73163,1032301
1e+06,500,28,1644298,29167054930,1432776961,1615215058,26713847645,596399,123626,472773,16070,1031829
1e+06,500,28,1646046,28694616651,1447223004,1595466366,26257067488,595779,123048,472731,17243,1033024
1e+06,1000,28,1638637,33112635570,1604628836,1633418799,30575624445,597461,118460,479001,8813,1032363
1e+06,1000,28,1638221,33723057436,1599982476,1635380562,31182689393,597213,118183,479030,8875,1032133
1e+06,1500,28,1636953,33228692298,1681774017,1628865254,30653797871,599004,118493,480511,6007,1031942
1e+06,1500,28,1636190,33223518675,1689281492,1631587845,30645525945,599018,118529,480489,6091,1031081
1e+06,2000,28,1636669,34466691844,1748293115,1625476881,31863774772,599068,117688,481380,4551,1033050
1e+06,2000,28,1635696,34167648462,1750904479,1619119260,31578470010,598657,117276,481381,4540,1032499
1e+06,10,30,2185627,909802254,768420153,297814741,0,628000,387470,240530,525036,1032591
1e+06,10,30,2184629,918158462,771155996,300628606,0,626944,386383,240561,525036,1032649
1e+06,50,30,1733199,2538871162,998065880,1649130230,227019730,568805,165860,402945,132537,1031857
1e+06,50,30,1738845,2555591301,1001184818,1667327319,229240913,570135,167235,402900,137538,1031172
1e+06,100,30,1668411,17326193764,1057958344,1913584099,14753510050,564542,120419,444123,71288,1032581
1e+06,100,30,1668533,16973778821,1075688895,1917716068,14393998910,564114,120097,444017,73163,1031256
1e+06,500,30,1631896,32980681498,1428107182,2046491159,30104167889,582669,108017,474652,16070,1033157
1e+06,500,30,1633814,33381604780,1447576142,2044659238,30501826151,583280,108626,474654,17243,1033291
1e+06,1000,30,1625856,35643605168,1598374233,2067537371,32681364610,584576,104331,480245,8813,1032467
1e+06,1000,30,1625396,35609700927,1598045321,2071929203,32641024912,584717,104487,480230,8875,1031804
1e+06,1500,30,1622826,37617935291,1698182310,2075740255,34604746547,585759,103933,481826,6007,1031060
1e+06,1500,30,1623469,37302764839,1693050291,2056703707,34305548032,585467,103644,481823,6091,1031911
1e+06,2000,30,1624807,37067574755,1739190001,2081312879,34012303203,586346,104077,482269,4551,1033910
1e+06,2000,30,1624839,37528875546,1740270999,2077126209,34488066136,586269,103990,482279,4540,1034030
1e+06,10,32,2185627,920059449,769779607,299913378,0,628000,387470,240530,525036,1032591
1e+06,10,32,2184629,911548668,771060108,300077231,0,626944,386383,240561,525036,1032649
1e+06,50,32,1733768,2891950946,1002532483,2043832647,190024811,568019,164200,403819,132537,1033212
1e+06,50,32,1736219,2891466671,1006103550,2042719795,188575828,565548,161619,403929,137538,1033133
1e+06,100,32,1657851,14198077373,1052723916,2448870524,11092578974,554380,109632,444748,71288,1032183
1e+06,100,32,1658170,14119353920,1049236410,2439647361,11022228503,553160,108406,444754,73163,1031847
1e+06,500,32,1618299,36662983363,1415249924,2606684963,33245328502,571126,94708,476418,16070,1031103
1e+06,500,32,1618951,36115412915,1435831509,2618156778,32676155960,570871,94486,476385,17243,1030837
1e+06,1000,32,1615117,38452718235,1602259046,2634068372,34939979138,574336,92600,481736,8813,1031968
1e+06,1000,32,1616956,38672712033,1608677096,2655029766,35136442210,575301,93534,481767,8875,1032780
1e+06,1500,32,1614874,40628253717,1643301126,2647450531,37090172224,575354,91931,483423,6007,1033513
1e+06,1500,32,1612827,40994409860,1639559431,2630411255,37473156301,575113,91699,483414,6091,1031623
1e+06,2000,32,1610748,41694951672,1739896832,2622123005,38128601965,575182,90879,484303,4551,1031015
1e+06,2000,32,1611827,41361758699,1741433033,2650538657,37764157358,575277,90932,484345,4540,1032010
1e+06,10,34,2185627,922180282,768098485,303662164,0,628000,387470,240530,525036,1032591
1e+06,10,34,2184629,918924511,772993368,301119886,0,626944,386383,240561,525036,1032649
1e+06,50,34,1726996,3397303159,1001921693,2573111565,168143531,565027,159816,405211,132537,1029432
1e+06,50,34,1735275,3436308055,1002652204,2601867574,166764333,564628,159425,405203,137538,1033109
1e+06,100,34,1647167,11634322432,1050640604,3073522281,7894367310,544435,99779,444656,71288,1031444
1e+06,100,34,1650589,11356375615,1044741826,3088841005,7597980048,543941,99318,444623,73163,1033485
